Please sign in;Name;Date;ESG Score Grade;ESG Score;Social Pillar Score;Governance Pillar Score;Environmental Pillar Score;Social Pillar Score Grade;Governance Pillar Score Grade;Environmental Pillar Score Grade;Resource Use Score;Emissions Score;Environmental Innovation Score;Workforce Score;Human Rights Score;Community Score;Product Responsibility Score;Management Score;Shareholders Score;CSR Strategy Score;
MICP.PA;MICHELIN ORD;31/12/2021;A;86.49887765;89.28;86.88;82.84;A;A;A-;87.39;94.16;73.77;95.75;79.90;99.39;88.03;91.62;77.92;76.63;
LEGD.PA;LEGRAND ORD;31/12/2022;A;86.13278606;81.60;91.76;86.40;A-;A+;A;98.74;96.90;76.23;97.59;52.71;98.68;86.74;95.20;90.66;76.19;
BNPP.PA;BNP PARIBAS ORD;31/12/2022;A+;93.00792786;94.72;89.91;96.38;A+;A;A+;93.88;94.31;95.23;96.91;93.90;88.80;98.89;94.19;72.98;93.92;
MT.AS;ARCELORMITTAL ORD;31/12/2022;A-;82.36220216;89.93;78.08;76.70;A;A-;A-;69.71;89.69;50.00;90.00;91.63;99.19;62.55;79.76;86.90;56.41;
PUBP.PA;PUBLICIS GROUPE ORD;31/12/2021;A-;83.14012943;84.77;87.05;64.95;A;A;B;85.56;98.20;0.00;98.77;82.87;71.18;86.29;94.16;70.30;76.63;
BOUY.PA;BOUYGUES ORD;31/12/2022;B+;74.06674725;88.27;59.24;70.68;A;B;B+;85.37;87.55;44.63;67.54;94.84;99.12;97.31;60.86;67.93;38.10;
VIE.PA;VEOLIA ENVIRONNEMENT VE ORD;31/12/2022;B+;74.68894406;75.84;59.26;82.35;A-;B;A-;80.68;73.86;93.59;82.95;56.25;79.55;89.02;57.83;66.67;55.29;
EDEN.PA;EDENRED ORD;31/12/2021;A-;77.528791;78.66;79.07;73.21;A-;A-;B+;75.35;99.84;38.74;93.16;61.79;75.00;94.08;74.87;94.67;76.63;
PRTP.PA;KERING SA;31/12/2022;B+;73.85776961;94.45;39.77;96.27;A+;C;A+;99.79;99.78;86.59;99.81;92.20;87.64;98.60;36.62;26.01;76.19;
LVMH.PA;LVMH MOET HENNESSY LOUIS VUITT;31/12/2022;A-;78.14845008;86.11;55.47;90.70;A;B-;A;95.00;99.66;80.00;97.70;90.91;76.97;74.32;62.37;32.58;55.29;
AXAF.PA;AXA ORD;31/12/2022;A-;79.61779842;77.09;90.88;76.15;A-;A;A-;99.38;88.36;28.00;85.22;85.05;63.62;77.19;99.24;61.87;92.59;
CAGR.PA;CREDIT AGRICOLE ORD;31/12/2022;B+;67.03145748;69.30;52.30;97.55;B+;B-;A+;96.98;98.26;95.23;80.19;78.00;28.01;92.36;48.23;34.60;99.21;
SOGN.PA;SOCIETE GENERALE ORD;31/12/2022;A;83.92983612;77.68;88.24;96.18;A-;A;A+;92.00;95.03;95.23;90.32;78.00;61.04;72.44;99.75;48.23;90.74;
SCHN.PA;SCHNEIDER ELECTRIC SE;31/12/2022;A-;76.23201565;83.20;74.52;70.05;A-;B+;B+;97.39;98.24;45.18;99.30;68.13;98.52;72.35;85.10;38.13;76.19;
SASY.PA;SANOFI SA ORD;31/12/2022;A;88.34702061;91.40;79.84;93.74;A;A-;A+;98.88;98.93;61.02;98.20;80.83;93.17;96.96;83.08;71.46;76.19;
RENA.PA;RENAULT PAR;31/12/2022;A;84.94818901;87.12;66.98;95.14;A;B+;A+;96.69;98.28;92.49;91.61;90.00;67.68;95.21;62.88;74.49;76.19;
ENGIE.PA;ENGIE ORD;31/12/2022;A-;76.28205821;75.64;72.20;79.06;A-;B+;A-;82.95;76.14;78.21;94.32;56.25;79.55;69.51;88.13;16.41;76.19;
TEPRF.PA;TELEPERFORMANCE ORD;31/12/2021;A-;77.19518923;84.96;84.31;52.85;A;A;B-;70.45;78.04;0.00;96.79;77.19;86.17;81.51;97.21;46.45;76.63;
SAF.PA;SAFRAN ORD;31/12/2021;B;61.53948711;75.67;45.78;56.90;A-;C+;B-;73.66;59.89;41.35;91.12;94.94;30.37;80.00;44.92;39.85;58.97;
ACCP.PA;ACCOR SA ORD;31/12/2022;A-;79.35819392;89.20;68.66;74.84;A;B+;B+;78.10;71.89;71.43;89.39;94.39;75.25;94.55;75.00;61.36;47.88;
HRMS.PA;HERMES INTL ORD;31/12/2022;B-;57.95832463;64.32;37.45;71.76;B;C;B+;98.33;94.86;28.70;92.43;66.08;90.46;12.50;33.59;24.49;76.19;
BVI.PA;BUREAU VERITAS REGISTRE INTL ORD;31/12/2021;A-;80.7458117;88.29;76.44;73.27;A;A-;B+;91.78;81.25;38.74;99.30;77.19;89.53;91.27;93.15;34.77;55.43;
DAST.PA;DASSAULT SYSTEMES ORD;31/12/2022;B;65.08275909;95.08;35.63;77.25;A+;C;A-;97.17;96.79;52.30;94.60;94.50;93.53;97.80;37.12;29.04;38.10;
TTEF.PA;TOTALENERGIES SE ORD;31/12/2022;A-;81.88786122;87.82;58.11;90.89;A;B-;A;94.66;98.72;77.53;99.82;92.05;62.19;86.02;55.81;40.15;96.56;
ESLX.PA;ESSILORLUXOTTICA ORD;31/12/2022;B+;68.02969646;79.05;51.82;71.68;A-;B-;B+;89.16;79.38;50.00;95.59;72.41;98.78;57.79;52.78;51.26;47.88;
PERP.PA;PERNOD-RICARD ORD;30/06/2020;B+;68.99783648;62.05;65.77;82.34;B;B;A-;99.40;91.57;0.00;85.64;60.56;40.43;58.52;75.27;43.21;52.07;
SGEF.PA;VINCI ORD;31/12/2021;A;85.26504116;79.17;80.88;94.40;A-;A-;A+;98.43;93.70;92.58;88.32;77.42;97.34;29.11;81.47;81.73;76.63;
ORAN.PA;ORANGE ORD;31/12/2022;A-;76.91356098;90.04;46.69;82.00;A;C+;A-;95.92;87.04;60.33;86.97;87.64;84.12;97.80;27.53;99.75;62.96;
CAPP.PA;CAPGEMINI ORD;31/12/2021;B+;70.34835558;91.24;50.07;77.98;A;B-;A-;99.53;97.38;52.12;99.16;95.57;94.09;80.15;32.74;90.10;76.63;
AIR.PA;AIRBUS SE;31/12/2022;A-;82.83146325;83.47;71.09;97.66;A;B+;A+;99.52;97.71;96.23;95.49;74.43;85.25;81.74;79.26;45.21;69.10;
EUFI.PA;EUROFINS SCIENTIFIC ORD;31/12/2021;A;84.12366431;81.10;85.58;88.48;A-;A;A;97.71;90.54;50.00;91.56;90.80;75.00;74.35;96.43;84.52;32.89;
URW.PA;UNIBAIL-RODAMCO-WESTFIELD ORD;31/12/2022;A;89.61179151;94.27;87.29;87.86;A+;A;A;97.92;93.60;26.03;95.84;70.11;98.87;92.38;91.16;73.48;88.62;
AIRP.PA;AIR LIQUIDE ORD;31/12/2021;B+;72.66491697;87.38;92.64;47.25;A;A+;C+;49.68;65.18;27.87;95.68;92.40;95.68;57.48;99.24;68.27;96.20;
STLAM.PA;STELLANTIS NV ORD;31/12/2022;A;87.50892207;91.79;69.53;95.13;A+;B+;A+;88.13;97.51;97.21;98.75;90.00;96.96;81.80;62.23;94.15;69.10;
STMPA.PA;STMICROELECTRONICS ORD;31/12/2022;A+;91.72135922;91.34;87.67;95.63;A;A;A+;95.66;95.74;95.51;99.80;88.37;86.27;92.03;96.28;86.70;46.07;
OREP.PA;L OREAL S.A.;31/12/2022;A;84.64823527;89.13;81.66;78.92;A;A-;A-;97.09;89.56;39.29;99.48;91.25;64.95;92.93;81.57;85.61;76.19;
SGOB.PA;SAINT-GOBAIN ORD;31/12/2022;A;88.52694083;83.98;84.99;96.72;A;A;A+;97.77;93.48;98.15;99.71;72.73;71.47;97.20;86.11;87.12;76.19;
CARR.PA;CARREFOUR ORD;31/12/2021;A-;76.89366159;85.45;51.35;91.76;A;B-;A+;91.18;98.77;77.27;98.18;71.08;82.85;86.15;41.88;53.05;96.20;
TCFP.PA;THALES ORD;31/12/2022;B;60.45328618;80.34;27.68;68.38;A-;C-;B+;96.63;99.54;16.04;96.31;94.32;67.62;46.09;25.00;4.29;76.19;
DANO.PA;GROUPE DANONE ORD;31/12/2022;A;88.19745409;89.65;81.21;92.28;A;A-;A+;89.98;96.21;84.13;99.41;70.06;90.73;98.86;89.65;46.72;90.74;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
